Tickers;Sector
MINEROS CB Equity;Materials
VOLCABC1 PE Equity;Materials
PE&OLES* MM Equity;Materials
COGN3 BZ Equity;Consumer Discretionary
MOVI3 BZ Equity;Industrials
MDNE3 BZ Equity;Real Estate
ECOR3 BZ Equity;Industrials
CAMANCHA CI Equity;Consumer Staples
LAVV3 BZ Equity;Real Estate
FABRI CB Equity;Consumer Discretionary
DASA3 BZ Equity;Health Care
JHSF3 BZ Equity;Real Estate
OROB CI Equity;Financials
VTRU3 BZ Equity;Consumer Discretionary
CSMG3 BZ Equity;Utilities
SEER3 BZ Equity;Consumer Discretionary
SALFACOR CI Equity;Industrials
BESALCO CI Equity;Industrials
TRIS3 BZ Equity;Consumer Discretionary
PGMN3 BZ Equity;Consumer Staples
SCHWAGER CI Equity;Industrials
ALPK3 BZ Equity;Industrials
MNPR3 BZ Equity;Consumer Staples
CSED3 BZ Equity;Consumer Discretionary
ANIM3 BZ Equity;Consumer Discretionary
CURY3 BZ Equity;Consumer Discretionary
NORTEG CI Equity;Financials
HITES CI Equity;Consumer Discretionary
TEND3 BZ Equity;Consumer Discretionary
EXITO CB Equity;Consumer Staples
AXIA3 BZ Equity;Utilities
ITAUCL CI Equity;Financials
CIBEST CB Equity;Financials
MALLPLAZ CI Equity;Real Estate
CYRE3 BZ Equity;Consumer Discretionary
GENTERA* MM Equity;Financials
RIAA3 BZ Equity;Consumer Discretionary
DIRR3 BZ Equity;Consumer Discretionary
PARAUCO CI Equity;Real Estate
AAISA CI Equity;Financials
ENEV3 BZ Equity;Utilities
HABITAT CI Equity;Financials
HBOR3 BZ Equity;Real Estate
CORFER CB Equity;Communication Services
BMOB3 BZ Equity;Communication Services
LTM CI Equity;Industrials
FIQE3 BZ Equity;Communication Services
PLANVI CI Equity;Financials
ORVR3 BZ Equity;Industrials
TERPEL CB Equity;Consumer Discretionary
FALAB CI Equity;Consumer Discretionary
VIVA3 BZ Equity;Consumer Discretionary
CPFE3 BZ Equity;Utilities
NITRATOS CI Equity;Materials
GMEXICOB MM Equity;Materials
VULC3 BZ Equity;Consumer Discretionary
RDOR3 BZ Equity;Health Care
AVAL CB Equity;Financials
EZTC3 BZ Equity;Consumer Discretionary
NEOE3 BZ Equity;Utilities
ALMEN CI Equity;Communication Services
MILS3 BZ Equity;Industrials
CEAB3 BZ Equity;Consumer Discretionary
WIZC3 BZ Equity;Financials
PLPL3 BZ Equity;Consumer Discretionary
ENTEL CI Equity;Communication Services
ALOS3 BZ Equity;Real Estate
TIMS3 BZ Equity;Communication Services
SOCOVESA CI Equity;Consumer Discretionary
CHILE CI Equity;Financials
DESK3 BZ Equity;Communication Services
CPLE3 BZ Equity;Utilities
VBBR3 BZ Equity;Consumer Discretionary
SBSP3 BZ Equity;Utilities
ALLD3 BZ Equity;Information Technology
OPCT3 BZ Equity;Industrials
TOTS3 BZ Equity;Information Technology
EMBJ3 BZ Equity;Industrials
EVEN3 BZ Equity;Consumer Discretionary
BSAN CI Equity;Financials
LOGG3 BZ Equity;Real Estate
ENKA CB Equity;Materials
SK CI Equity;Industrials
PINFRA* MM Equity;Industrials
SYNE3 BZ Equity;Real Estate
CVCB3 BZ Equity;Consumer Discretionary
RIPLEY CI Equity;Consumer Discretionary
ISA CB Equity;Utilities
BHI CB Equity;Financials
BICE CI Equity;Financials
CENCOMAL CI Equity;Real Estate
YDUQ3 BZ Equity;Consumer Discretionary
HBRE3 BZ Equity;Real Estate
ECL CI Equity;Utilities
MOTV3 BZ Equity;Industrials
PFRM3 BZ Equity;Health Care
CBAV3 BZ Equity;Materials
MELK3 BZ Equity;Real Estate
IGTI3 BZ Equity;Real Estate
MATD3 BZ Equity;Health Care
QUAL3 BZ Equity;Health Care
ENELGXCH CI Equity;Utilities
VIVT3 BZ Equity;Communication Services
SIMH3 BZ Equity;Industrials
EQTL3 BZ Equity;Utilities
VALE3 BZ Equity;Materials
PCAR3 BZ Equity;Consumer Staples
MGLU3 BZ Equity;Consumer Discretionary
GRUPOSUR CB Equity;Financials
MTRE3 BZ Equity;Real Estate
RENT3 BZ Equity;Industrials
JSLG3 BZ Equity;Industrials
IAM CI Equity;Utilities
FERREYC1 PE Equity;Industrials
MRVE3 BZ Equity;Consumer Discretionary
NEMAKA MM Equity;Consumer Discretionary
TGMA3 BZ Equity;Industrials
CELSIA CB Equity;Utilities
SMFT3 BZ Equity;Consumer Discretionary
UGPA3 BZ Equity;Consumer Discretionary
QUINENC CI Equity;Industrials
HBSA3 BZ Equity;Industrials
ZOFRI CI Equity;Real Estate
OMAB MM Equity;Industrials
CASH3 BZ Equity;Communication Services
PSSA3 BZ Equity;Financials
BBVAC1 PE Equity;Financials
CAP CI Equity;Materials
TECN3 BZ Equity;Consumer Discretionary
